Word	Frequency
u	1.0
go	0.40044493882091214
lt gt	0.2825361512791991
ok	0.26362625139043383
come	0.25472747497219134
got	0.25361512791991103
love	0.24805339265850945
call	0.23915461624026696
time	0.22135706340378197
ur	0.22024471635150167
want	0.1946607341490545
need	0.1946607341490545
know	0.19132369299221358
day	0.18242491657397109
one	0.1724137931034483
good	0.16796440489432704
think	0.1668520578420467
see	0.1646273637374861
still	0.16240266963292546
tell	0.15016685205784205
da	0.14905450500556172
say	0.14238042269187987
n	0.14015572858731926
lor	0.14015572858731926
today	0.13793103448275862
sorri	0.135706340378198
make	0.13236929922135707
work	0.13236929922135707
ask	0.13236929922135707
hope	0.12791991101223582
meet	0.12569521690767518
send	0.12458286985539488
take	0.12347052280311457
oh	0.12347052280311457
back	0.12347052280311457
dont	0.12347052280311457
thing	0.12347052280311457
home	0.12235817575083426
well	0.11902113459399333
hey	0.11902113459399333
give	0.11790878754171301
much	0.11790878754171301
miss	0.11234705228031146
way	0.1067853170189099
alreadi	0.10011123470522804
dear	0.09899888765294772
thank	0.09566184649610679
wat	0.09454949944382647
realli	0.09232480533926585
e	0.09121245828698554
right	0.09010011123470522
yeah	0.09010011123470522
text	0.08898776418242492
pl	0.08898776418242492
even	0.0867630700778643
pleas	0.0867630700778643
great	0.08565072302558398
wait	0.08565072302558398
said	0.08565072302558398
co	0.08565072302558398
feel	0.08453837597330367
later	0.08453837597330367
friend	0.08342602892102335
babe	0.08342602892102335
im	0.08342602892102335
b	0.08231368186874305
lol	0.08231368186874305
phone	0.08120133481646273
tomorrow	0.08008898776418243
happi	0.08008898776418243
pick	0.07897664071190211
hi	0.07897664071190211
night	0.07897664071190211
leav	0.07897664071190211
yes	0.0778642936596218
tri	0.07675194660734148
someth	0.07675194660734148
life	0.07675194660734148
buy	0.07452725250278086
number	0.07452725250278086
sure	0.07230255839822025
anyth	0.07230255839822025
finish	0.06896551724137931
sleep	0.067853170189099
amp	0.06674082313681869
around	0.06562847608453838
keep	0.06451612903225806
gon na	0.06451612903225806
late	0.06340378197997776
look	0.06229143492769744
money	0.06229143492769744
free	0.06229143492769744
use	0.06229143492769744
talk	0.06117908787541713
smile	0.06117908787541713
guy	0.06117908787541713
msg	0.060066740823136816
start	0.060066740823136816
alway	0.058954393770856504
messag	0.058954393770856504
plan	0.058954393770856504
tonight	0.05672969966629588
sent	0.05672969966629588
told	0.05672969966629588
place	0.05561735261401557
find	0.05561735261401557
lot	0.05561735261401557
happen	0.05561735261401557
thk	0.05561735261401557
week	0.05561735261401557
mani	0.05561735261401557
soon	0.054505005561735265
v	0.054505005561735265
went	0.054505005561735265
let	0.05339265850945495
thought	0.05339265850945495
fine	0.05228031145717464
morn	0.05228031145717464
check	0.05228031145717464
haha	0.05228031145717464
ya	0.05228031145717464
fuck	0.05228031145717464
stuff	0.05116796440489433
done	0.05116796440489433
eat	0.05005561735261402
car	0.05005561735261402
bit	0.05005561735261402
class	0.05005561735261402
mean	0.05005561735261402
person	0.05005561735261402
watch	0.048943270300333706
first	0.048943270300333706
yet	0.048943270300333706
wish	0.048943270300333706
hello	0.047830923248053395
mayb	0.047830923248053395
someon	0.047830923248053395
ill	0.047830923248053395
worri	0.04671857619577308
repli	0.04671857619577308
cant	0.04671857619577308
problem	0.04671857619577308
c	0.04560622914349277
yup	0.04560622914349277
may	0.04560622914349277
never	0.04560622914349277
nice	0.04560622914349277
quit	0.04560622914349277
let know	0.04560622914349277
month	0.04449388209121246
drive	0.04449388209121246
everi	0.04449388209121246
lunch	0.04338153503893215
peopl	0.04338153503893215
lar	0.042269187986651836
end	0.042269187986651836
long	0.042269187986651836
shop	0.042269187986651836
hour	0.042269187986651836
take care	0.042269187986651836
help	0.041156840934371525
wonder	0.041156840934371525
best	0.041156840934371525
job	0.041156840934371525
stop	0.041156840934371525
better	0.041156840934371525
liao	0.041156840934371525
dat	0.041156840934371525
bring	0.041156840934371525
dinner	0.04004449388209121
girl	0.04004449388209121
next	0.04004449388209121
yo	0.04004449388209121
readi	0.04004449388209121
shit	0.04004449388209121
rememb	0.0389321468298109
pay	0.0389321468298109
room	0.0389321468298109
cool	0.0389321468298109
ah	0.0389321468298109
guess	0.0389321468298109
care	0.0389321468298109
might	0.0389321468298109
mind	0.0389321468298109
man	0.03781979977753059
reach	0.03781979977753059
noth	0.03781979977753059
anyway	0.03781979977753059
heart	0.03781979977753059
boy	0.03781979977753059
earli	0.03670745272525028
wont	0.03670745272525028
anoth	0.03670745272525028
aight	0.03670745272525028
stay	0.03670745272525028
big	0.03670745272525028
actual	0.03670745272525028
put	0.03670745272525028
word	0.035595105672969966
name	0.035595105672969966
